corp_id,corp_name,schl_id,schl_name,iread_pct,math_prof_pct,ela_prof_pct,sc_prof_pct,ss_prof_pct,bio_prof_pct,sat_bmk_pct,enrlmnt
0935,Borden-Henryville School Corporation,0765,Henryville Jr & Sr High School,NA,0.133,0.4,NA,NA,0.207,0.154,461
0935,Borden-Henryville School Corporation,0767,Henryville Elementary School,0.855,0.458,0.337,0.306,0.34,NA,NA,647
0935,Borden-Henryville School Corporation,0813,William W Borden High School,NA,0.298,0.615,NA,NA,0.39,0.216,319
0935,Borden-Henryville School Corporation,0815,William W Borden Elementary School,0.972,0.517,0.483,0.386,0.312,NA,NA,289
0945,Silver Creek School Corporation,0781,Silver Creek Middle School,NA,0.394,0.459,0.335,NA,NA,NA,760
0945,Silver Creek School Corporation,0789,Silver Creek Elementary School,0.753,0.439,0.401,0.312,0.279,NA,NA,899
1000,Clarksville Community School Corp,0845,Clarksville Elementary School,0.858,0.468,0.325,0.312,NA,NA,NA,615
1000,Clarksville Community School Corp,0851,Clarksville Middle School,NA,0.188,0.328,0.392,0.291,NA,NA,414
1000,Clarksville Community School Corp,1007,Indiana Gateway Digital Academy,0.459,0.058,0.126,0.092,0.085,0.154,0.073,2617
1010,Greater Clark County Schools,0755,W E Wilson Elementary,0.77,0.358,0.348,0.216,0.2,NA,NA,481
1010,Greater Clark County Schools,0761,Thomas Jefferson Elementary School,0.94,0.429,0.34,0.367,0.213,NA,NA,335
1010,Greater Clark County Schools,0801,Northaven Elementary School,0.843,0.356,0.322,0.229,0.184,NA,NA,552
1010,Greater Clark County Schools,0805,Utica Elementary School,0.955,0.669,0.642,0.488,0.402,NA,NA,525
1010,Greater Clark County Schools,0807,New Washington Elementary School,0.895,0.447,0.428,0.333,0.245,NA,NA,319
1010,Greater Clark County Schools,0809,New Washington Middle/High School,NA,0.246,0.412,0.225,NA,0.308,0.115,313
1010,Greater Clark County Schools,0825,Jonathan Jennings Elementary Sch,0.898,0.462,0.417,0.341,0.346,NA,NA,477
1010,Greater Clark County Schools,0853,Parkview Middle School,NA,0.246,0.309,0.235,NA,NA,NA,713
1010,Greater Clark County Schools,0863,Charlestown Middle School,NA,0.319,0.466,0.388,NA,NA,NA,612
1010,Greater Clark County Schools,0871,Riverside Elementary School,0.882,0.492,0.459,0.417,0.38,NA,NA,548
1010,Greater Clark County Schools,0874,Franklin Square Elementary School,0.61,0.168,0.186,0.175,0.132,NA,NA,538
1010,Greater Clark County Schools,0879,Parkwood Elementary School,0.759,0.193,0.275,0.197,0.131,NA,NA,534
1010,Greater Clark County Schools,0883,River Valley Middle School,NA,0.223,0.413,0.357,NA,NA,NA,850
1010,Greater Clark County Schools,0886,Old Corden Porter School,NA,NA,NA,NA,NA,NA,NA,23
1125,Clay Community Schools,0895,Clay City Elementary School,0.974,0.723,0.624,0.561,0.508,NA,NA,377
1125,Clay Community Schools,0897,Clay City Jr-Sr High School,NA,0.382,0.537,NA,NA,0.265,0.302,365
1125,Clay Community Schools,0901,Jackson Township Elementary School,0.945,0.677,0.531,0.6,0.611,NA,NA,253
1125,Clay Community Schools,0907,Staunton Elementary School,0.952,0.734,0.622,0.656,0.694,NA,NA,366
1125,Clay Community Schools,0923,Van Buren Elementary School,0.898,0.641,0.398,0.472,0.591,NA,NA,246
1125,Clay Community Schools,0925,North Clay Middle School,NA,0.397,0.43,0.554,NA,NA,NA,744
1125,Clay Community Schools,0941,East Side Elementary School,NA,0.57,0.481,0.567,0.538,NA,NA,207
1125,Clay Community Schools,0942,Forest Park Elementary School,NA,0.352,0.25,0.258,0.32,NA,NA,250
1125,Clay Community Schools,0949,Meridian Street Elementary School,0.919,0.615,0.53,0.366,0.41,NA,NA,289
1150,Clinton Central School Corporation,0957,Clinton Central Junior-Senior HS,NA,0.177,0.354,NA,NA,0.198,0.339,398
1150,Clinton Central School Corporation,0961,Clinton Central Elementary School,0.841,0.567,0.508,0.458,0.435,NA,NA,469
1160,Clinton Prairie School Corporation,0977,Clinton Prairie Jr-Sr High School,NA,0.335,0.401,NA,NA,0.375,0.275,530
1160,Clinton Prairie School Corporation,0981,Clinton Prairie Elementary School,0.922,0.564,0.433,0.386,0.345,NA,NA,663
1170,Community Schools of Frankfort,0999,Frankfort Middle School,NA,0.285,0.322,0.245,NA,NA,NA,706
1170,Community Schools of Frankfort,1015,Green Meadows Intermediate Elem,0.841,0.466,0.324,0.168,0.188,NA,NA,410
1170,Community Schools of Frankfort,1020,Suncrest Elementary School,0.728,0.326,0.231,0.141,0.138,NA,NA,560
1180,Rossville Con School District,1021,Rossville Middle/Senior High Sch,NA,0.476,0.571,0.667,NA,0.452,0.475,488
1180,Rossville Con School District,1033,Rossville Elementary School,0.859,0.564,0.507,0.568,0.565,NA,NA,472
1300,Crawford County Community Sch Corp,1037,South Crawford Elementary School,NA,0.4,0.292,0.36,0.043,NA,NA,164
1300,Crawford County Community Sch Corp,1045,West Crawford Elementary School,0.736,0.489,0.337,0.44,0.419,NA,NA,184
1300,Crawford County Community Sch Corp,1049,Crawford County Virtual Academy,NA,NA,NA,NA,NA,0,0,47
1300,Crawford County Community Sch Corp,1061,Crawford County Middle School,NA,0.309,0.415,0.299,NA,NA,NA,296
1300,Crawford County Community Sch Corp,1065,East Crawford Elementary School,0.728,0.677,0.554,0.513,0.512,NA,NA,272
1315,Barr-Reeve Community Schools Inc,1069,Barr Reeve Middle/High School,NA,0.655,0.591,0.443,NA,0.515,0.514,490
1315,Barr-Reeve Community Schools Inc,1075,Barr Reeve Elementary School,0.886,0.75,0.542,0.571,0.507,NA,NA,526
1375,North Daviess Com Schools,1090,North Daviess Elementary School,0.917,0.367,0.44,0.42,0.613,NA,NA,637
1375,North Daviess Com Schools,1121,North Daviess Jr-Sr High School,NA,0.253,0.463,NA,NA,0.156,0.344,471
1405,Washington Community Schools,1103,Washington Intermediate,0.746,0.341,0.226,0.218,NA,NA,NA,445
1405,Washington Community Schools,1105,Veale Elementary School,NA,0.579,0.395,0.227,NA,NA,NA,89
1405,Washington Community Schools,1123,Washington Junior High School,NA,0.292,0.329,NA,NA,NA,NA,416
1405,Washington Community Schools,1129,Washington Upper Elementary,NA,0.261,0.281,0.281,0.323,NA,NA,361
1560,Sunman-Dearborn Com Sch Corp,1189,North Dearborn Elementary School,0.939,0.679,0.565,0.602,0.746,NA,NA,770
1560,Sunman-Dearborn Com Sch Corp,1190,East Central Middle School,NA,0.404,0.478,0.502,NA,NA,NA,872
1560,Sunman-Dearborn Com Sch Corp,1193,Bright Elementary School,0.926,0.508,0.466,0.456,0.604,NA,NA,554
1560,Sunman-Dearborn Com Sch Corp,7211,Sunman Elementary School,0.835,0.487,0.447,0.395,0.44,NA,NA,339
1600,South Dearborn Community Sch Corp,1141,Dillsboro Elementary School,0.827,0.642,0.541,0.533,0.556,NA,NA,262
1600,South Dearborn Community Sch Corp,1165,Manchester Elementary School,0.95,0.472,0.264,0.268,0.393,NA,NA,171
1600,South Dearborn Community Sch Corp,1172,South Dearborn Middle School,NA,0.225,0.505,NA,NA,0.604,NA,328
1600,South Dearborn Community Sch Corp,1197,Aurora Elementary School,0.91,0.321,0.304,0.331,0.241,NA,NA,533
1620,Lawrenceburg Community School Corp,1209,Greendale Middle School,NA,0.285,0.442,0.374,NA,0.375,NA,473
1620,Lawrenceburg Community School Corp,1217,Central Elementary School,0.946,0.518,0.39,0.397,0.44,NA,NA,426
1655,Decatur County Community Schools,1263,South Decatur Jr-Sr High School,NA,0.235,0.338,NA,NA,0.086,0.297,387
1655,Decatur County Community Schools,1265,South Decatur Elementary School,0.862,0.515,0.481,0.41,0.35,NA,NA,436
1655,Decatur County Community Schools,1266,North Decatur Elementary School,0.947,0.609,0.588,0.554,0.632,NA,NA,521
1655,Decatur County Community Schools,1267,North Decatur Jr-Sr High School,NA,0.396,0.578,NA,NA,0.11,0.203,478
1730,Greensburg Community Schools,1269,Greensburg Community Jr High,NA,0.327,0.468,0.407,NA,1,NA,441
1730,Greensburg Community Schools,1270,Greensburg Elementary,0.942,0.558,0.372,0.547,0.403,NA,NA,1037
1805,DeKalb Co Eastern Com Sch Dist,1317,Eastside Junior-Senior High School,NA,0.285,0.332,NA,NA,0.271,0.312,585
1805,DeKalb Co Eastern Com Sch Dist,1321,Butler Elementary School,0.885,0.253,0.228,0.268,0.397,NA,NA,357
1805,DeKalb Co Eastern Com Sch Dist,1335,Riverdale Elementary School,0.955,0.62,0.479,0.662,0.5,NA,NA,293
1820,Garrett-Keyser-Butler Com Sch Corp,1329,J E Ober Elementary School,0.79,0.349,0.245,0.282,0.266,NA,NA,727
1820,Garrett-Keyser-Butler Com Sch Corp,1331,Garrett Middle School,NA,0.294,0.239,0.307,NA,NA,NA,376
1835,DeKalb Co Ctl United Sch Dist,1341,Waterloo Elementary School,0.862,0.378,0.233,0.136,0.161,NA,NA,220
1835,DeKalb Co Ctl United Sch Dist,1346,DeKalb Middle School,NA,0.331,0.543,0.434,NA,NA,NA,800
1835,DeKalb Co Ctl United Sch Dist,1351,James R Watson Elementary School,0.942,0.626,0.485,0.506,0.57,NA,NA,588
1835,DeKalb Co Ctl United Sch Dist,1357,McKenney-Harrison Elementary Sch,0.752,0.513,0.317,0.323,0.434,NA,NA,644
1835,DeKalb Co Ctl United Sch Dist,1359,Country Meadow Elementary School,0.695,0.401,0.299,0.343,0.261,NA,NA,314
1875,Delaware Community School Corp,1365,Royerton Elementary School,0.948,0.678,0.538,0.554,0.616,NA,NA,607
1875,Delaware Community School Corp,1367,Delta Middle School,NA,0.33,0.408,0.518,NA,NA,NA,633
1875,Delaware Community School Corp,1409,Eaton Elementary School,0.917,0.641,0.542,0.5,0.566,NA,NA,268
1875,Delaware Community School Corp,1520,Albany Elementary School,0.887,0.623,0.493,0.452,0.667,NA,NA,299
1885,Wes-Del Community Schools,1372,Wes-Del Middle/Senior High School,NA,0.348,0.413,0.262,NA,0.373,0.18,430
1885,Wes-Del Community Schools,1413,Wes-Del Elementary School,0.931,0.552,0.383,0.234,0.47,NA,NA,418
1895,Liberty-Perry Community Sch Corp,1377,Selma Middle School,NA,0.524,0.571,0.565,NA,NA,NA,263
1895,Liberty-Perry Community Sch Corp,1381,Selma Elementary School,0.91,0.721,0.54,0.49,0.598,NA,NA,562
1900,Cowan Community School Corp,1385,Cowan Elementary School,0.83,0.429,0.299,0.364,0.492,NA,NA,429
1900,Cowan Community School Corp,1386,Cowan High School,NA,0.236,0.317,NA,NA,0.145,0.203,362
1910,Yorktown Community Schools,1387,Yorktown Middle School,NA,0.412,0.46,0.386,NA,0.885,NA,656
1910,Yorktown Community Schools,1393,Yorktown Elementary School,0.887,0.625,0.457,0.436,0.47,NA,NA,672
1940,Daleville Community Schools,1401,Daleville Jr-Sr High School,NA,0.32,0.32,NA,NA,0.346,0.221,451
1940,Daleville Community Schools,1405,Daleville Elementary School,0.935,0.436,0.25,0.319,0.284,NA,NA,567
1970,Muncie Community Schools,1431,Northside Middle School,NA,0.191,0.256,0.261,NA,NA,NA,583
1970,Muncie Community Schools,1437,Southside Middle School,NA,0.042,0.053,0.107,NA,NA,NA,443
1970,Muncie Community Schools,1470,Grissom Elementary School,0.523,0.158,0.115,0.158,0.148,NA,NA,450
1970,Muncie Community Schools,1482,South View Elementary School,NA,0.067,0.062,0.025,0.034,NA,NA,445
1970,Muncie Community Schools,1485,Longfellow Elementary School,NA,0.122,0.155,0.06,0.043,NA,NA,324
1970,Muncie Community Schools,1496,North View Elementary School,0.893,0.472,0.373,0.309,0.37,NA,NA,371
1970,Muncie Community Schools,1500,Muncie Virtual Academy,NA,0.042,0.068,NA,NA,NA,NA,152
1970,Muncie Community Schools,1513,East Washington Academy,0.769,0.472,0.45,0.5,0.338,NA,NA,468
1970,Muncie Community Schools,1517,West View Elementary School,0.821,0.395,0.264,0.262,0.333,NA,NA,479
1970,Muncie Community Schools,1524,Youth Opportunity Center,NA,0,0,NA,NA,NA,NA,39
2040,Northeast Dubois Co Sch Corp,1545,Northeast Dubois Jr/Sr High School,NA,0.483,0.442,NA,NA,0.236,0.314,368
2040,Northeast Dubois Co Sch Corp,1549,Northeast Dubois Intermediate School,0.985,0.716,0.487,0.586,0.4,NA,NA,231
2100,Southeast Dubois Co Sch Corp,1563,Pine Ridge Elementary School,0.893,0.743,0.568,0.478,NA,NA,NA,236
2100,Southeast Dubois Co Sch Corp,1581,Ferdinand Elementary School,0.927,0.756,0.605,0.534,NA,NA,NA,301
